county,year,month,num_pregnant_women,link
anderson,2017,november,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
andrews,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
angelina,2017,november,2,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
aransas,2017,november,3,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
archer,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
armstrong,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
atascosa,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
austin,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
bailey,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
bandera,2017,november,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
bastrop,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
baylor,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
bee,2017,november,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
bell,2017,november,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
bexar,2017,november,22,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
blanco,2017,november,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
borden,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
bosque,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
bowie (private facility),2017,november,5,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
brazoria,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
brazos,2017,november,5,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
brewster,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
briscoe,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
brooks,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
brooks (private facility),2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
brown,2017,november,1,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
burleson,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
burnet (private facility - 1),2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
caldwell,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
calhoun,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
callahan,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
cameron,2017,november,7,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
camp,2017,november,0,https://www.tcjs.state.tx.us//docs/PregnantFemaleReports/Pregnant Female Reporting Nov 2017.pdf
