county,year,month,num_of_inmates,num_of_inmate_days,cost_in_dollars,link
castro,2017,november,7,172,12698.76,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
chambers,2017,november,4,53,2120,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
cherokee,2017,november,9,231,8142.75,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
childress,2017,november,2,62,1860,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
clay,2017,november,1,6,296.1,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
cochran,2017,november,1,31,1240,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
coke,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
coleman,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
collin,2017,november,197,3821,192540.19,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
collingsworth,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
colorado,2017,november,7,163,7621.88,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
comal,2017,november,27,531,44147.340000000004,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
comanche,2017,november,2,62,2100.56,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
concho,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
cooke,2017,november,6,115,5698.25,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
coryell,2017,november,1,27,1375.3799999999999,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
cottle,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
crane,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
crockett,2017,november,1,10,375,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
crosby,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
culberson,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
dallam,2017,november,8,123,6188.13,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
dallas,2017,november,618,11886,658008.9600000001,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
dawson,2017,november,2,45,2025,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
deaf smith,2017,november,11,225,8912.25,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
delta,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
denton,2017,november,151,3622,164221.47999999998,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
dewitt,2017,november,2,42,2100,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
dickens,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
dimmit,2017,november,2,33,1785.3,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
donley,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
duval,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
eastland,2017,november,2,36,1206,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
ector,2017,november,49,824,46498.32,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
edwards,2017,november,1,2,100,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
el paso,2017,november,131,2980,223082.8,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
ellis,2017,november,34,668,30060,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
erath,2017,november,1,31,1054,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
falls,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
fannin (private facility - 1),2017,november,1,11,495,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
fayette,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
fisher,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
floyd,2017,november,2,28,1260,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
foard,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
fort bend,2017,november,130,3242,158339.28,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
franklin,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
freestone,2017,november,10,204,15402,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
frio (private facility),2017,november,1,27,756,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
gaines,2017,november,1,3,154.29,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
galveston,2017,november,44,1235,59354.1,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
garza,2017,november,2,14,639.24,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
gillespie,2017,november,7,171,28264.59,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
glasscock,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
goliad,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
gonzales,2017,november,12,238,11166.96,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
gray,2017,november,3,53,3385.11,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
grayson,2017,november,26,659,38551.5,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
gregg,2017,november,26,593,18347.420000000002,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
grimes,2017,november,5,155,5696.25,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
guadalupe,2017,november,11,303,13734.99,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hale,2017,november,2,32,1216,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hall,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hamilton,2017,november,2,62,2170,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hansford,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hardeman,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hardin,2017,november,1,5,118.7,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
harris,2017,november,797,18289,1371675,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
harrison,2017,november,7,211,7416.6500000000005,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
haskell (private facility),2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hays,2017,november,40,1124,86413.12000000001,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hemphill,2017,november,1,31,2128.46,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
henderson,2017,november,11,200,6820,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hidalgo,2017,november,585,11525,583280.25,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hill,2017,november,4,96,2623.68,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hockley,2017,november,1,17,767.89,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hood,2017,november,7,143,7088.51,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hopkins,2017,november,3,53,2120,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
houston,2017,november,2,51,2256.75,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
howard,2017,november,3,78,3924.96,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hudspeth,2017,november,2,62,966.58,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hunt,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
hutchinson,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
irion,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
jack,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
jackson,2017,november,5,139,6672,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
jasper,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
jeff davis,2017,november,1,31,1426,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
jefferson,2017,november,16,259,14245,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
jefferson (private facility),2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
jim hogg,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
jim wells,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
johnson,2017,november,41,700,37807,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
jones,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
karnes,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
kaufman,2017,november,25,767,30365.53,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
kendall,2017,november,7,189,12430.53,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
kenedy,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
kent,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
kerr,2017,november,11,164,6745.320000000001,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
kimble,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
king,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
kinney,2017,november,2,24,1103.04,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
kleberg,2017,november,2,50,2362,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
knox,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
la salle,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
lamar,2017,november,7,130,3850.6,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
lamb,2017,november,2,37,1983.2,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
lampasas,2017,november,7,195,24690.9,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
lavaca,2017,november,2,4,178.32000000000002,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
lee,2017,november,2,10,421.4,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
leon,2017,november,1,16,680.8,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
liberty (private facility),2017,november,18,265,12322.5,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
limestone,2017,november,8,218,9156,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
lipscomb,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
live oak,2017,november,2,57,3075.72,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
llano,2017,november,3,82,1845,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
loving,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
lubbock,2017,november,20,409,21627.920000000002,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
lynn,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
madison,2017,november,2,30,1101.3,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
marion,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
martin,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
mason,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
matagorda,2017,november,8,213,5959.74,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
maverick,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
mcculloch,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
mclennan,2017,november,69,1647,91540.26,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
mcmullen,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
medina,2017,november,3,57,3571.05,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
menard,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
midland,2017,november,51,633,55640.7,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
milam,2017,november,4,70,3290,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
mills,2017,november,3,93,5800.41,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
mitchell,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
montague,2017,november,1,27,960.12,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
montgomery,2017,november,145,2358,101676.95999999999,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
moore,2017,november,7,195,18203.25,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
morris,2017,november,1,7,210,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
motley,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
nacogdoches,2017,november,5,96,2976,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
navarro,2017,november,11,195,11700,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
newton,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
nolan,2017,november,3,57,2565,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
nueces,2017,november,21,432,13854.240000000002,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
ochiltree,2017,november,7,206,11639,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
oldham,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
orange,2017,november,5,150,5662.5,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
palo pinto,2017,november,2,62,2475.66,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
panola,2017,november,3,75,3450,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
parker,2017,november,13,334,17381.36,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
parmer,2017,november,7,141,4143.99,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
pecos,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
polk,2017,november,2,34,672.8599999999999,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
potter,2017,november,39,988,59428.2,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
presidio,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
rains,2017,november,1,15,38.849999999999994,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
randall,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
reagan,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
real,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
red river,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
reeves,2017,november,3,93,4309.620000000001,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
refugio,2017,november,3,39,1504.62,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
