county,year,month,num_of_inmates,num_of_inmate_days,cost_in_dollars,link
anderson,2017,november,3,15,330,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
andrews,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
angelina,2017,november,6,161,7510.6500000000005,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
aransas,2017,november,1,9,448.65000000000003,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
archer,2017,november,1,31,1162.5,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
armstrong,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
atascosa,2017,november,2,18,1248.6599999999999,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
austin,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
bailey,2017,november,8,137,5306.01,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
bandera,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
bastrop,2017,november,35,709,31699.39,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
baylor,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
bee,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
bell,2017,november,25,869,50080.47,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
bexar,2017,november,250,5002,230092,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
blanco,2017,november,4,124,7688,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
borden,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
bosque,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
bowie (private facility),2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
brazoria,2017,november,54,1476,50198.759999999995,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
brazos,2017,november,75,1477,37043.159999999996,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
brewster,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
briscoe,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
brooks,2017,november,3,46,2363.94,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
brown,2017,november,3,47,1504,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
burleson,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
burnet,2017,november,6,136,8059.360000000001,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
caldwell,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
calhoun,2017,november,5,116,5104,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
callahan,2017,november,2,2,144,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
cameron,2017,november,273,7288,339693.68,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
camp,2017,november,3,88,3467.2,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
carson,2017,november,5,121,3025,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
cass,2017,november,0,0,0,https://www.tcjs.state.tx.us//docs/ImmigrationDetainerReports/./Immigration Detainer Report Nov 2017.pdf
